image,pixels,filter,method,avg_time
300x300.png,90000,inversion,Seq,0.21019433333333334
300x300.png,90000,inversion,OMP,1.3114706666666667
300x300.png,90000,inversion,SIMD,0.06341666666666666
300x300.png,90000,inversion,OCL,44.81073333333334
300x300.png,90000,median,Seq,63.89726666666667
300x300.png,90000,median,OMP,12.941733333333334
300x300.png,90000,median,SIMD,22.389466666666667
300x300.png,90000,median,OCL,25.599333333333334
300x300.png,90000,edges,Seq,7.320973333333333
300x300.png,90000,edges,OMP,2.71168
300x300.png,90000,edges,SIMD,6.691426666666667
300x300.png,90000,edges,OCL,27.121433333333332
400x400.png,160000,inversion,Seq,0.710167
400x400.png,160000,inversion,OMP,0.8934996666666667
400x400.png,160000,inversion,SIMD,0.24762466666666666
400x400.png,160000,inversion,OCL,26.8095
400x400.png,160000,median,Seq,114.98733333333334
400x400.png,160000,median,OMP,21.294
400x400.png,160000,median,SIMD,42.645900000000005
400x400.png,160000,median,OCL,27.3733
400x400.png,160000,edges,Seq,13.9568
400x400.png,160000,edges,OMP,3.6685433333333335
400x400.png,160000,edges,SIMD,12.6601
400x400.png,160000,edges,OCL,29.019366666666667
500x500.png,250000,inversion,Seq,1.1129166666666666
500x500.png,250000,inversion,OMP,0.9692503333333333
500x500.png,250000,inversion,SIMD,0.3749303333333333
500x500.png,250000,inversion,OCL,26.16026666666667
500x500.png,250000,median,Seq,177.65366666666665
500x500.png,250000,median,OMP,29.2148
500x500.png,250000,median,SIMD,45.35536666666667
500x500.png,250000,median,OCL,25.818033333333332
500x500.png,250000,edges,Seq,21.258866666666666
500x500.png,250000,edges,OMP,4.86164
500x500.png,250000,edges,SIMD,19.111
500x500.png,250000,edges,OCL,23.50006666666667
600x600.png,360000,inversion,Seq,1.6097233333333334
600x600.png,360000,inversion,OMP,1.0811266666666668
600x600.png,360000,inversion,SIMD,0.5569586666666666
600x600.png,360000,inversion,OCL,24.975933333333334
600x600.png,360000,median,Seq,240.782
600x600.png,360000,median,OMP,40.400733333333335
600x600.png,360000,median,SIMD,49.562333333333335
600x600.png,360000,median,OCL,26.624633333333332
600x600.png,360000,edges,Seq,30.533433333333335
600x600.png,360000,edges,OMP,6.83128
600x600.png,360000,edges,SIMD,27.7123
600x600.png,360000,edges,OCL,26.281
950x950.png,902500,inversion,Seq,4.071153333333333
950x950.png,902500,inversion,OMP,1.7889433333333333
950x950.png,902500,inversion,SIMD,1.36592
950x950.png,902500,inversion,OCL,27.03686666666667
950x950.png,902500,median,Seq,660.858
950x950.png,902500,median,OMP,94.00686666666667
950x950.png,902500,median,SIMD,232.01733333333334
950x950.png,902500,median,OCL,28.240666666666666
950x950.png,902500,edges,Seq,79.2383
950x950.png,902500,edges,OMP,16.280233333333335
950x950.png,902500,edges,SIMD,70.84326666666666
950x950.png,902500,edges,OCL,25.951833333333333
2400x2400.png,5760000,inversion,Seq,26.551566666666666
2400x2400.png,5760000,inversion,OMP,5.440433333333333
2400x2400.png,5760000,inversion,SIMD,8.965393333333333
2400x2400.png,5760000,inversion,OCL,32.39163333333333
2400x2400.png,5760000,median,Seq,4291.61
2400x2400.png,5760000,median,OMP,551.5366666666667
2400x2400.png,5760000,median,SIMD,1438.2933333333333
2400x2400.png,5760000,median,OCL,40.30263333333333
2400x2400.png,5760000,edges,Seq,513.808
2400x2400.png,5760000,edges,OMP,85.64706666666667
2400x2400.png,5760000,edges,SIMD,460.43033333333335
2400x2400.png,5760000,edges,OCL,33.71816666666667
